Data Set Name,# of Samples,Platform,Reference,Download Link
TCGA BRCA,1100,RNA_Seq,"Cancer Genome Atlas (TCGA) Research Network. (2008). Comprehensive genomic characterization defines human glioblastoma genes and core pathways.?Nature,?455(7216), 1061.",http://firebrowse.org/?cohort=BRCA&download_dialog=true
breastCancerNKI,337,Agilent,"breastCancerNKI: Genexpression dataset published by van't Veer et al. [2002] and van de Vijver et al. [2002] (NKI).. R package version 1.14.0, http://compbio.dfci.harvard.edu/.",http://www.bioconductor.org/packages/release/data/experiment/html/breastCancerNKI.html
breastCancerUPP,251,Affymetrix HG133AB,"breastCancerUPP: Gene expression dataset published by Sotiriou et al. [2005] (UPP).. R package version 1.14.0,?http://compbio.dfci.harvard.edu/.",http://www.bioconductor.org/packages/release/data/experiment/html/breastCancerUPP.html
breastCancerUNT,137,Affymetrix HG133AB,"breastCancerUNT: Gene expression dataset published by Sotiriou et al. [2007] (UNT).. R package version 1.14.0,?http://compbio.dfci.harvard.edu/.",http://www.bioconductor.org/packages/release/data/experiment/html/breastCancerUNT.html
breastCancerTRANSBIG,198,Affymetrix HG133A,"breastCancerTRANSBIG: Gene expression dataset published by Sotiriou et al. [2007] (TRANSBIG).. R package version 1.14.0,?http://compbio.dfci.harvard.edu/.",http://www.bioconductor.org/packages/release/data/experiment/html/breastCancerTRANSBIG.html
breastCancerMAINZ,200,Affymetrix HG U133A,"breastCancerMAINZ: Gene expression dataset published by Schmidt et al. [2008] (MAINZ).. R package version 1.14.0, http://compbio.dfci.harvard.edu/.",http://bioconductor.org/packages/release/data/experiment/html/breastCancerMAINZ.html
breastCancerVDX,344,Affymetrix HG U133A,"breastCancerVDX: Gene expression datasets published by Wang et al. [2005] and Minn et al. [2007] (VDX).. R package version 1.14.0, http://compbio.dfci.harvard.edu/.",http://bioconductor.org/packages/release/data/experiment/html/breastCancerVDX.html
METABRIC_Discovery,997,Illumina HT-12 v3,"Curtis, C., Shah, S. P., Chin, S. F., Turashvili, G., Rueda, O. M., Dunning, M. J., ... & Gr?f, S. (2012). The genomic and transcriptomic architecture of 2,000 breast tumours reveals novel subgroups. Nature, 486(7403), 346-352.",http://www.cbioportal.org/study?id=brca_metabric#summary
METABRIC_Validation,995,Illumina HT-12 v3,"Curtis, C., Shah, S. P., Chin, S. F., Turashvili, G., Rueda, O. M., Dunning, M. J., ... & Gr?f, S. (2012). The genomic and transcriptomic architecture of 2,000 breast tumours reveals novel subgroups. Nature, 486(7403), 346-352.",http://www.cbioportal.org/study?id=brca_metabric#summary
GSE20194,230,Affymetrix HG U133A,"Popovici V, Chen W, Gallas BG, Hatzis C et al. Effect of training-sample size and classification difficulty on the accuracy of genomic predictors. Breast Cancer Res 2010;12(1):R5. PMID: 20064235 &Shi L, Campbell G, Jones WD, Campagne F et al. The MicroArray Quality Control (MAQC)-II study of common practices for the development and validation of microarray-based predictive models. Nat Biotechnol 2010 Aug;28(8):827-38. PMID: 20676074",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE20194
