,test
100130426,-2.44530847339195
100133144,0.447632896566022
100134869,-0.20473845716121
10357,4.61356335181358
10431,5.91795683128583
136542,-6.64385618977472
155060,3.69737576451339
26823,-1.25590516066534
280660,-6.64385618977472
317712,-6.64385618977472
340602,-4.99442466167964
388795,-4.07788439799895
390284,0.549700947253724
391343,-6.64385618977472
391714,-4.63134933437646
404770,-6.64385618977472
441362,-6.64385618977472
442388,-6.64385618977472
553137,-6.64385618977472
57714,2.92908723526571
645851,0.847868884117811
652919,-6.64385618977472
653553,6.77232843486247
728045,-6.64385618977472
728603,-6.64385618977472
728788,-6.64385618977472
729884,-4.37891994101536
8225,6.27141424509039
90288,-6.64385618977472
1,-0.0314324872932969
29974,3.18162376321889
54715,-4.09268594370317
87769,3.14164454209838
144568,-4.46751476719123
2,8.86815227824185
53947,2.25752361990769
51146,-6.64385618977472
404744,-6.64385618977472
8086,5.40585148946854
729522,-5.12343196439014
65985,5.01522514594066
344752,-6.64385618977472
126767,-6.64385618977472
343066,-6.64385618977472
13,-1.75141603016993
51166,3.21673680589654
79719,5.28865538100166
22848,2.60160937327473
14,7.16306241978741
15,-4.02081363663269
57505,2.96268487709459
80755,5.97581882713964
16,6.43741352290922
60496,4.27172182606324
132949,2.796600540411
10157,2.48155071227849
26574,6.36779262162366
9625,-0.418721128152738
18,3.30552802131687
10349,0.999302192457857
79963,2.49907041623231
26154,-5.11631818999508
154664,-0.914516328581914
650655,-1.07656074141345
19,2.55302414335459
20,2.65161350378996
21,0.985175574437281
24,-3.06629724748528
23461,3.15073117926016
23460,-1.3640718704837
10347,2.78120467429462
10351,-0.362706054559683
10350,-1.74694987277464
23456,3.37637245606366
8647,-4.42213523802369
5243,6.58756299704235
5244,0.994955943616562
340273,-6.64385618977472
10058,3.21220337389264
22,3.92587435626229
11194,4.68453474851477
23457,2.08968814844701
89845,3.90953646556452
85320,-2.88459602152353
94160,-6.64385618977472
150000,-1.76572317258508
4363,4.70766955687887
1244,0.218351356097241
8714,6.10824585850871
10257,3.96837694326392
10057,3.99416824217843
653190,-2.54788711005185
730013,2.29001204780769
368,1.98222362891122
6833,-2.0896866604543
10060,-0.315361437592227
215,4.08187551860098
225,-2.99599399385621
5825,4.81513018820055
5826,5.02528144899221
6059,4.93121770988189
23,5.48891136206055
10061,5.63817291205509
55324,5.06488574491802
9619,5.16683042610712
9429,-0.114182102987566
64137,-3.54028383359489
64240,-3.04845952334688
64241,-5.32211944166916
55347,4.03683193193517
83451,6.73910380808556
145447,1.21946601922594
26090,6.26065718718765
84945,3.22550285207439
25864,4.45113351992751
84836,6.49857959385121
116236,3.78440028174188
84696,-0.696003146907386
11057,7.17073542055408
171586,3.93146466817353
63874,3.82974194062256
51099,2.17420682778573
57406,3.10351606219828
79575,1.94470114563847
10006,5.13086723874632
10152,3.63895444175908
25890,2.04400935324964
51225,2.86043744033291
25,5.32646846692324
27,1.74935173174512
3983,5.66775788718472
84448,5.02585258009883
22885,2.14310522834314
28,3.73447572713023
26,7.60565717222014
137735,-4.22751660316284
29,6.31541534292948
29777,4.78523566865715
80325,4.36123338369931
25841,1.22332387738426
30,5.29996010728107
10449,6.39620716075281
31,4.83096085762355
32,2.89520575704176
80724,3.71488478471626
84129,3.25049191914713
27034,4.35155891913516
28976,5.03548854352342
33,-6.64385618977472
34,4.32692681740213
36,2.5613249008585
35,5.30180335268113
37,7.76058804643652
176,1.39039300967833
9744,2.414708359066
23527,3.24672657189045
116983,4.00592650001793
38,5.39207279311788
39,4.66472655336191
64746,4.68132264492254
79777,3.59447296985618
91452,4.23265829985178
84320,4.74243138611813
414149,0.343617441379867
40,-0.690776455764001
41,3.3010858992275
9311,-1.6732191880487
55515,-3.78263896824538
51802,-6.64385618977472
390110,-6.64385618977472
84680,3.08589005706378
65057,4.23777106444952
59272,4.52441019212399
125981,-6.64385618977472
340485,0.881557410143812
55331,2.2366610455126
1636,5.32560433724064
43,1.42000973679396
22985,6.67694373877042
47,6.18634696334915
130013,-6.64385618977472
57001,4.09050433712858
48,4.5233896161753
50,6.5049710069556
26027,4.51601658516718
134526,-6.64385618977472
55856,3.91909684930484
641371,3.72246978554333
10965,3.67648427875763
122970,1.909333180855
641372,-4.17751344120673
11332,5.59646452771114
10005,5.20251617348802
23597,4.93235085308193
51,4.74160374969578
8309,4.84746496408649
8310,3.76648182839951
55289,-3.73868806321194
52,7.06925258233355
53,4.90688293271033
54,4.64221984381159
51205,4.62908554518348
92370,3.60377734683962
55,1.7144854562005
93650,-3.76091589859534
84519,1.69501298004899
93953,-0.359463503675209
56,-3.77684531722423
49,-3.26703770937244
23205,-2.29746996630677
81616,-4.56614350003925
80221,3.91150005698134
